genus,species,image_count,country_count,sources
Epidendrum,anoglossum,30,0,GBIF
Epidendrum,anisatum,30,1,GBIF
Maxillaria,amplifoliata,30,0,GBIF
Maxillaria,alticola,30,0,GBIF
Trizeuxis,falcata,30,0,GBIF
Andreettaea,semperflorens,30,0,GBIF
Lepanthes,vespertilio,30,2,GBIF
Epidendrum,melistagum,30,0,GBIF
Maxillaria,adolphi,30,0,GBIF
Maxillaria,aureoglobula,30,0,GBIF
Maxillaria,acutifolia,30,0,GBIF
Maxillaria,pulchra,30,0,GBIF
Maxillaria,aciantha,30,0,GBIF
Epidendrum,alsum,30,0,GBIF
Masdevallia,ximenae,30,0,GBIF
Masdevallia,walteri,30,0,GBIF
Phaius,tankervilleae,30,0,GBIF
Maxillaria,pumila,30,0,GBIF
Epiblastus,basalis,30,0,GBIF
Leporella,fimbriata Lindl.,30,0,GBIF
Leptoceras,menziesii Lindl.,30,0,GBIF
Maxillaria,luteograndiflora,30,0,GBIF
Limodorum,abortivum,30,0,GBIF
Limodorum,trabutianum,30,0,GBIF
Epidendrum,nanosimplex,30,0,GBIF
Masdevallia,rosea,30,0,GBIF
Maxillaria,rufescens,30,0,GBIF
Vanilla,chamissonis Klotzsch,30,2,GBIF
Liparis,bowkeri,30,0,GBIF
Triphora,trianthophoros,30,0,GBIF
Liparis,campylostalix,30,0,GBIF
Liparis,capensis,30,0,GBIF
Masdevallia,rafaeliana,30,0,GBIF
Liparis,cordifolia,30,0,GBIF
Liparis,cordiformis,30,0,GBIF
Encyclia,rodolfoi,30,1,GBIF
Encyclia,meliosma,30,0,GBIF
Maxillaria,scheidweileriana,30,0,GBIF
Phreatia,micrantha,30,0,GBIF
Encyclia,kennedyi,30,0,GBIF
Liparis,goodyeroides,30,0,GBIF
Liparis,guineensis,30,0,GBIF
Liparis,habenarina,30,0,GBIF
Masdevallia,platyglossa,30,0,GBIF
Liparis,inaperta,30,0,GBIF
Masdevallia,picturata,30,0,GBIF
Lepanthes,cyrtostele,30,0,GBIF
Liparis,laurisilvatica,30,0,GBIF
Maxillaria,schlimii,30,0,GBIF
Liparis,longicaulis,30,0,GBIF
Vanilla,hostmannii Rolfe,30,3,GBIF
Phaius,subtrilobus,30,0,GBIF
Liparis,nokoensis,30,0,GBIF
Liparis,odorata,30,0,GBIF
Liparis,pauliana,30,0,GBIF
Masdevallia,minuta,30,0,GBIF
Liparis,remota,30,0,GBIF
Maxillaria,longissima,30,0,GBIF
Liparis,salassia,30,0,GBIF
Liparis,sasakii,30,0,GBIF
Liparis,saundersiana,30,0,GBIF
Encyclia,candollei,30,0,GBIF
Epidendrum,oxysepalum,30,0,GBIF
Triphora,surinamensis,30,0,GBIF
Lepanthes,manabina,30,0,GBIF
Masdevallia,infracta,30,0,GBIF
Liparis,vexillifera,30,0,GBIF
Maxillaria,striata,30,0,GBIF
Epidendrum,chlorocorymbos,30,0,GBIF
Maxillaria,subrepens,30,0,GBIF
Lockhartia,hercodonta,30,0,GBIF
Lockhartia,imbricata,30,0,GBIF
Encyclia,argentinensis,30,0,GBIF
Lockhartia,micrantha,30,0,GBIF
Epidendrum,pallatangae,30,0,GBIF
Encyclia,altissima,30,0,GBIF
Lockhartia,serra,30,0,GBIF
Lockhartia,verrucosa,30,0,GBIF
Encyclia,adenocarpa,30,0,GBIF
Epidendrum,cernuum,30,2,"GBIF,Tropicos - Missouri Botanical Garden"
Palmorchis,veyretae,30,0,GBIF
Masdevallia,floribunda,30,0,GBIF
Elythranthera,brunonis Lindl.,30,0,GBIF
Maxillaria,umbratilis,30,0,GBIF
Eltroplectris,triloba,30,0,GBIF
Maxillaria,uncata,30,0,GBIF
Triphora,gentianoides,30,0,GBIF
Lycaste,deppei,30,0,GBIF
Masdevallia,cucullata,30,0,GBIF
Elleanthus,robustus,30,0,GBIF
Epidendrum,coronatum,30,0,GBIF
Epidendrum,paranthicum,30,0,GBIF
Lyperanthus,serratus Lindl.,30,0,GBIF
Lyperanthus,suaveolens R.,30,0,GBIF
Masdevallia,caudivolvula,30,0,GBIF
Elleanthus,oliganthus,30,0,GBIF
Elleanthus,myrosmatis,30,0,GBIF
Masdevallia,bicolor,30,0,GBIF
Mediocalcar,agathodaemonis,30,0,GBIF
Macroclinium,wullschlaegelianum,30,0,GBIF
Masdevallia,amanda,30,0,GBIF
Masdevallia,amabilis,30,0,GBIF
Elleanthus,maculatus,30,0,GBIF
Malaxis,abieticola,30,0,GBIF
Malaxis,schliebenii,30,0,GBIF
Megastylis,gigas Rchb.f.,30,0,GBIF
Malaxis,bayardii,30,0,GBIF
Lepanthes,biloba,30,0,GBIF
Pinalia,amica,30,0,GBIF
Malaxis,elliptica,30,0,GBIF
Malaxis,rosei,30,0,GBIF
Epidendrum,parviflorum,30,0,GBIF
Malaxis,lepidota,30,0,GBIF
Malaxis,pringlei,30,0,GBIF
Microchilus,arietinus,30,0,GBIF
Malaxis,parthoni,30,0,GBIF
Malaxis,macrostachya,30,0,GBIF
Malaxis,major,30,0,GBIF
Malaxis,novogaliciana,30,0,GBIF
Microchilus,foliosus,30,0,GBIF
Elleanthus,caricoides,30,0,GBIF
Tridactyle,virgula,30,0,GBIF
Epidendrum,pentadactylum,30,0,GBIF
Tridactyle,tridentata,30,0,GBIF
Angraecum,bracteosum,30,0,GBIF
Earina,deplanchei,30,0,GBIF
Tridactyle,thomensis,30,0,GBIF
Epidendrum,piliferum,30,0,GBIF
Jumellea,anjouanensis,30,0,GBIF
Bonatea,antennifera Rolfe,30,0,GBIF
Platanthera,oligantha Turcz.,30,0,GBIF
Bonatea,porrecta Bolus,30,0,GBIF
Bonatea,pulchella Summerh.,30,0,GBIF
Disperis,purpurata ssp.,30,1,GBIF
Jacquiniella,teretifolia,30,0,GBIF
Thrixspermum,saruwatarii,30,0,GBIF
Miltonia,phymatochila,30,0,GBIF
Jacquiniella,cobanensis,30,0,GBIF
Thrixspermum,formosanum,30,0,GBIF
Platanthera,pachycaulon Hook.f.,30,0,GBIF
Aganisia,cyanea,30,0,GBIF
Disperis,micrantha Lindl.,30,1,GBIF
Maxillaria,huebschii,30,0,GBIF
Thelyschista,ghillanyi,30,0,GBIF
Orthoceras,strictum R.,30,0,GBIF
Brachycorythis,friesii Schltr.,30,0,GBIF
Brachycorythis,helferi Rchb.f.,30,0,GBIF
Brachycorythis,obcordata Lindl.,30,0,GBIF
Brachycorythis,ovata Lindl.,30,0,GBIF
Platanthera,pallida P.,30,0,GBIF
Platanthera,praeclara,30,0,GBIF
Brachycorythis,rhodostachys Schltr.,30,0,GBIF
Disperis,macowanii Bolus,30,1,GBIF
Thelymitra,tigrina R.,30,0,GBIF
Platanthera,sparsiflora S.,30,0,GBIF
Platanthera,stenantha Hook.f.,30,0,GBIF
Isochilus,bracteatus,30,0,GBIF
Brachystele,dilatata,30,0,GBIF
Thelymitra,tholiformis,30,0,GBIF
Brassavola,martiana,30,0,GBIF
Ionopsis,utricularioides,30,0,GBIF
Brassavola,venosa,30,0,GBIF
Epidendrum,schistochilum,30,0,GBIF
Brassia,aurantiaca,30,0,GBIF
Brassia,brachiata,30,0,GBIF
Brassia,cochleata,30,0,GBIF
Thelymitra,sargentii R.,30,0,GBIF
Platanthera,stenoglossa Hayata,30,0,GBIF
Thelymitra,sanscilia H.,30,0,GBIF
Brassia,euodes,30,0,GBIF
Brassia,gireoudiana,30,0,GBIF
Ionopsis,satyrioides,30,0,GBIF
Miltoniopsis,warscewiczii,30,0,GBIF
Thelymitra,peniculata Jeanes,30,0,GBIF
Disperis,erucifera H.,30,1,GBIF
Platanthera,stricta Lindl.,30,0,GBIF
Maxillaria,porrecta,30,0,GBIF
Thelymitra,pauciflora R.,30,0,GBIF
Ornithocephalus,myrticola,30,0,GBIF
Broughtonia,lindenii,30,0,GBIF
Ida,gigantea,30,0,GBIF
Thelymitra,paludosa Jeanes,30,0,GBIF
Thelymitra,occidentalis Jeanes,30,0,GBIF
Brownleea,coerulea Harv.,30,1,GBIF
Ornithocephalus,inflexus,30,0,GBIF
Brownleea,macroceras Sond.,30,1,GBIF
Disperis,cordata Sw.,30,1,GBIF
Disperis,concinna Schltr.,30,1,GBIF
Brownleea,recurvata Sond.,30,1,GBIF
Thelymitra,maculata Jeanes,30,0,GBIF
Ornithocephalus,bicornis,30,0,GBIF
Thelymitra,latifolia R.,30,0,GBIF
Disperis,bodkinii Bolus,30,1,GBIF
Platanthera,x bicolor,30,0,GBIF
Thelymitra,juncifolia Lindl.,30,0,GBIF
Disa,verdickii De,30,0,GBIF
Disa,tripetaloides L.f.,30,0,GBIF
Disa,tenuicornis Bolus,30,0,GBIF
Huttonaea,oreophila Schltr.,30,1,GBIF
Thelymitra,holmesii Nicholls,30,0,GBIF
Disa,telipogonis Rchb.f.,30,0,GBIF
Thelymitra,granitora,30,0,GBIF
Thelymitra,fuscolutea R.,30,0,GBIF
Thelymitra,flexuosa Endl.,30,0,GBIF
Thelymitra,epipactoides F.,30,0,GBIF
Myoxanthus,ceratothallis,30,0,GBIF
Disa,stricta Sond.,30,0,GBIF
Houlletia,odoratissima,30,0,GBIF
Bulbophyllum,aphanopetalum,30,0,GBIF
Homalopetalum,kienastii,30,0,GBIF
Thelymitra,colensoi Hook.f.,30,0,GBIF
Disa,stairsii Kraenzl.,30,3,GBIF
Thelymitra,carnea R.,30,0,GBIF
Disa,stachyoides Rchb.f.,30,0,GBIF
Disa,similis Summerh.,30,1,GBIF
Thelymitra,bracteata J.,30,1,GBIF
Disa,scullyi Bolus,30,0,GBIF
Holothrix,secunda Thunb.,30,0,GBIF
Thelymitra,benthamiana Rchb.f.,30,1,GBIF
Holothrix,scopularia Lindl.,30,0,GBIF
Disa,salteri G.,30,1,GBIF
Platanthera,x mixta,30,0,GBIF
Platanthera,zothecina,30,0,GBIF
Thelymitra,atronitida Jeanes,30,0,GBIF
Thelymitra,aristata Lindl.,30,1,GBIF
Holothrix,randii Rendle,30,0,GBIF
Bulbophyllum,betchei,30,0,GBIF
Oreorchis,indica,30,0,GBIF
Thelymitra,arenaria Lindl.,30,1,GBIF
Platycoryne,guingangae Rchb.f.,30,0,GBIF
Holothrix,pilosa Burch.,30,0,GBIF
Disa,robusta N.,30,2,GBIF
Thelymitra,antennifera Lindl.,30,0,GBIF
Holothrix,incurva Lindl.,30,0,GBIF
Disa,reticulata Bolus,30,1,GBIF
Holothrix,filicornis Immelman,30,0,GBIF
